word,iconicity,humour,POS,logletterfreq,UnTrn,NSyll,NPhon,diff_rank
wand,-0.3,2.714285714,Noun,-2.9271394820883794,W.AA.N.D,1,4,10
weather,-0.75,2.162162162,Noun,-2.54720767598538,W.EH.DH.ER,2,4,5
arch,2.5,2.026315789,Noun,-2.855970331178832,AA.R.CH,1,3,11
statement,-1.38461538461538,1.8333333330000001,Noun,-2.4716614230379794,S.T.EY.T.M.AH.N.T,2,8,2
lake,-0.272727272727273,2.263157895,Noun,-2.746141552224933,L.EY.K,1,3,7
sweat,1.15384615384615,2.225806452,Noun,-2.573082340691726,S.W.EH.T,1,4,11
scramble,2.3,2.375,Verb,-2.8732934263614136,S.K.R.AE.M.B.AH.L,2,8,15
cockroach,1.09090909090909,2.882352941,Noun,-2.994177926621754,K.AA.K.R.OW.CH,2,6,16
anger,1,1.5,Noun,-2.6244446172474127,AE.NG.G.ER,2,4,7
soccer,0.272727272727273,2.416666667,Noun,-2.734650882899389,S.AA.K.ER,2,4,9
beige,0.307692307692308,2.344827586,Adjective,-2.6529939953541315,B.EY.ZH,1,3,10
