"","word","POS","logfreq","nmorph","ico","fun"
"1186","skip","Verb",3.03221570329798,"1",2.09090909090909,2.6
"1187","mud","Noun",2.87909587950007,"1",1.69230769230769,2.6
"1188","throne","Noun",2.64542226934909,"1",NA,2.264705882
"1189","fever","Noun",3.00774777800074,"1",0.0714285714285714,1.941176471
"1190","hers","Pronoun",2.90471554527868,"1",1.214285714,NA
"1191","gentle","Adjective",2.92685670894969,"1",2.642857143,NA
"1192","ease","Noun",2.98900461569854,"1",0.75,2.233333333
"1193","buck","Noun",3.23603314711764,"1",NA,2.702702703
"1194","tone","Noun",2.93500315145365,"1",NA,2.458333333
"1195","sneak","Verb",2.93550726582471,"1",3.4,2.694444444
"1196","cliff","Name",3.04178731897175,"1",1.4,2.264705882
"1197","gear","Noun",2.91222205653242,"1",NA,2.35483871
"1198","alert","Adjective",3.02201573981772,"1",NA,2.324324324
"1199","league","Noun",2.97818051693741,"1",NA,2.192307692
"1200","tribe","Noun",2.51321760006794,"1",NA,2.307692308
"1201","fox","Name",3.04257551244019,"1",0.363636363636364,NA
"1202","lad","Noun",2.86746748785905,"1",NA,2.666666667
"1203","toy","Noun",2.93449845124357,"1",0.909090909,2.516129032
"1204","slap","Verb",2.80413943233535,"1",NA,2.161290323
"1205","jay","Name",2.91487181754005,"1",0.454545454545455,NA
"1206","alien","Adjective",2.94939000664491,"1",NA,2.46875
"1207","thick","Adjective",2.85369821177617,"1",0.615384615384615,2.648648649
"1208","senior","Adjective",3.12710479836481,"1",1,2.117647059
"1209","belt","Noun",3.09447112864164,"1",1.2,2.227272727
"1210","angle","Noun",2.8819549713396,"1",1.07692307692308,2.142857143
"1211","belly","Noun",2.90036712865647,"1",0.25,3.379310345
"1212","spin","Verb",2.8733206018154,"1",1.45454545454545,2.341463415
"1213","parent","Noun",2.82672252016899,"1",NA,1.973684211
"1214","turkey","Noun",3.06220580881971,"1",0.066666667,3.214285714
"1215","diamond","Noun",3.02284061087653,"1",0.909090909090909,NA
"1216","champion","Noun",3.02857125269254,"1",NA,2
"1217","dollar","Noun",3.14952701375435,"1",NA,2.611111111
"1218","shelter","Noun",2.77524625974024,"1",NA,2.142857143
"1219","bishop","Noun",2.93247376467715,"1",NA,2.209302326
"1220","nail","Verb",2.97863694838447,"1",0.181818182,2.315789474
"1221","theatre","Noun",2.76566855475901,"1",-0.454545454545455,NA
"1222","supply","Noun",2.97909290063833,"1",-0.416666666666667,2.257142857
"1223","squad","Noun",3.04020662757471,"1",NA,2.23255814
"1224","motive","Noun",2.82994669594164,"1",NA,2.179487179
"1225","limit","Noun",2.8228216453031,"1",NA,2.133333333
"1226","escort","Verb",2.8750612633917,"1",NA,2.318181818
"1227","costume","Noun",2.85853719756964,"1",NA,2.4
"1228","coward","Noun",2.86628733908419,"1",-0.5,2.069767442
"1229","impact","Noun",2.68214507637383,"1",NA,2
"1230","wide","Adjective",3.08457627793433,"1",-0.2,NA
"1231","fuel","Noun",2.94299959336604,"1",NA,2.260869565
"1232","stretch","Verb",2.87448181769947,"1",2.4,2.1875
"1233","degree","Noun",2.88081359228079,"1",NA,2.1
"1234","cap","Noun",2.98091193777684,"1",NA,2.518518519
"1235","chip","Noun",3.02201573981772,"1",NA,2.378378378
"1236","guitar","Noun",2.90091306773767,"1",0.545454545454545,2.027027027
"1237","punk","Noun",3.04999285692014,"1",1.5,NA
"1238","standard","Adjective",2.97358962342726,"1",NA,2.025641026
"1239","hammer","Noun",2.80413943233535,"1",1.384615385,2.666666667
"1240","profit","Noun",2.7481880270062,"1",NA,2.375
"1241","juice","Noun",3.13735411137073,"1",0.615384615,2.833333333
"1242","wealth","Noun",2.51188336097887,"1",NA,2.348837209
"1243","assault","Noun",2.95279244304409,"1",NA,1.694444444
"1244","clown","Noun",2.90741136077459,"1",0.153846154,2.780487805
"1245","penis","Noun",2.83569057149243,"1",-0.2,3.567567568
"1246","tattoo","Noun",2.78604121024255,"1",NA,2.444444444
"1247","stable","Adjective",2.82865989653532,"1",NA,2.133333333
"1248","pet","Noun",3.01283722470517,"1",NA,2.212121212
"1249","tent","Noun",2.95085145888855,"1",0.4,2.25
"1250","century","Noun",3.02694162795903,"1",-0.230769230769231,NA
"1251","supper","Noun",2.99519629159718,"1",-0.666666666666667,2.321428571
"1252","clay","Noun",2.78746047451842,"1",0.2,1.975609756
"1253","pile","Noun",2.82801506422398,"1",NA,2.678571429
"1254","pound","Noun",2.85064623518307,"1",0.25,2.62962963
"1255","mouse","Noun",2.98944981766669,"1",0,2.066666667
"1256","gray","Adjective",3.03261876085072,"1",1.2,NA
"1257","ad","Noun",2.84198480459011,"1",NA,1.92
"1258","random","Adjective",2.71850168886727,"1",NA,2.606060606
"1259","flow","Noun",2.84633711212981,"1",1.84615384615385,2.322580645
"1260","affair","Noun",3.17695898058691,"1",NA,2.151515152
"1261","pitch","Noun",2.8992731873176,"1",NA,2.583333333
"1262","appeal","Noun",2.82216807936802,"1",0.357142857142857,2.243243243
"1263","saint","Name",2.96142109406645,"1",NA,2.206896552
"1264","advantage","Noun",3.05153839051533,"1",-0.307692307692308,NA
"1265","shed","Verb",2.74896286125616,"1",0.181818181818182,NA
"1266","link","Noun",2.78532983501077,"1",NA,2.444444444
"1267","symbol","Noun",2.64246452024212,"1",-0.846153846153846,2.566666667
"1268","habit","Noun",2.86864443839483,"1",NA,2.135135135
"1269","romance","Noun",2.8992731873176,"1",NA,2.482758621
"1270","jean","Name",2.9566485792052,"1",NA,1.875
"1271","circus","Noun",2.94001815500766,"1",0.6,2.941176471
"1272","holly","Noun",2.73957234445009,"1",NA,2.310344828
"1273","pin","Noun",2.92220627743902,"1",1.90909090909091,1.954545455
"1274","status","Noun",2.87563993700417,"1",NA,2.083333333
"1275","burden","Noun",2.70070371714502,"1",1.18181818181818,1.735294118
"1276","motion","Noun",2.98587535730839,"1",0.866666666666667,1.777777778
"1277","bay","Noun",3.09236969962912,"1",NA,2.233333333
"1278","zone","Noun",3.01157044359728,"1",-0.1,NA
"1279","chaos","Noun",2.68124123737559,"1",NA,3
"1280","grief","Noun",2.7427251313047,"1",0.3,1.481481481
"1281","develop","Verb",2.69108149212297,"1",0.538461538461538,NA
"1282","ward","Noun",2.86213137931304,"1",NA,2.172413793
"1283","novel","Noun",2.71096311899528,"1",NA,2.157894737
"1284","bend","Verb",2.88592633980143,"1",NA,2.194444444
"1285","charm","Noun",2.90036712865647,"1",NA,2.225806452
"1286","smooth","Adjective",2.9698816437465,"1",3.25,2.451612903
"1287","helicopter","Noun",2.90687353472207,"1",0.909090909090909,NA
"1288","lane","Noun",3.23172438332852,"1",0.583333333333333,2.193548387
"1289","stubborn","Adjective",2.74429298312268,"1",0.454545454545455,NA
"1290","technique","Noun",2.65991620006985,"1",NA,2.6
"1291","statue","Noun",2.73319726510657,"1",NA,2.483870968
"1292","pipe","Noun",2.99563519459755,"1",0.333333333333333,NA
"1293","estate","Noun",3.03221570329798,"1",-1.25,2.137931034
"1294","steady","Adjective",3.0640834359636,"1",NA,2.315789474
"1295","counter","Noun",2.85125834871908,"1",NA,2.073170732
"1296","squeeze","Verb",2.88649072517248,"1",2.53846153846154,3.344827586
"1297","measure","Verb",2.73078227566639,"1",0.545454545454545,2.075
"1298","slide","Verb",2.95904139232109,"1",1.41666666666667,NA
"1299","string","Noun",2.8109042806687,"1",0.272727272727273,2.066666667
"1300","method","Noun",2.60530504614111,"1",0.571428571428571,2.333333333
"1301","poem","Noun",2.84323277809801,"1",NA,2.212121212
"1302","aye","Interjection",3.34966598409663,"1",1.72727272727273,NA
"1303","brush","Verb",2.85913829729453,"1",1.727272727,2.177777778
"1304","beard","Noun",2.80888586735981,"1",NA,2.352941176
"1305","heck","Noun",2.96661098668193,"1",NA,2.621621622
"1306","blade","Noun",2.82216807936802,"1",NA,2.225806452
"1307","nest","Noun",2.75358305889291,"1",NA,2.03125
"1308","knee","Noun",2.8750612633917,"1",0.133333333,2.057142857
"1309","barn","Noun",2.84135947045485,"1",0.7,NA
"1310","comrade","Noun",2.64048143697042,"1",NA,2.441176471
"1311","award","Noun",2.81822589361396,"1",NA,2.393939394
"1312","butter","Noun",3.01828430842653,"1",0.545454545,2.827586207
"1313","humor","Noun",2.92941892571429,"1",-1.08333333333333,NA
"1314","orange","Adjective",3.0565237240791,"1",0.230769230769231,2.302325581
"1315","brand","Noun",2.85308952985187,"1",NA,2.225806452
"1316","fridge","Noun",2.70156798505593,"1",0.545454545454545,2.161290323
"1317","pat","Name",2.97034687623009,"1",3,NA
"1318","stroke","Noun",2.82477646247555,"1",NA,2.121212121
"1319","expert","Noun",3.05269394192497,"1",NA,2.088235294
"1320","album","Noun",2.71850168886727,"1",NA,2.257142857
"1321","badge","Noun",2.89153745767256,"1",NA,2.28125
"1322","brief","Adjective",2.86510397464113,"1",0.2,NA
"1323","ton","Noun",2.58319877396862,"1",NA,2.227272727
"1324","freeze","Verb",3.21510858105309,"1",1.06666666666667,NA
"1325","rub","Verb",2.89707700320942,"1",1.5,2.586206897
"1326","cloud","Noun",2.77815125038364,"1",1,2.28125
"1327","budget","Noun",2.71096311899528,"1",NA,1.8
"1328","plot","Noun",2.77232170672292,"1",NA,2.380952381
"1329","alley","Noun",2.92012332629072,"1",NA,2.148148148
"1330","horn","Noun",3.03181227133037,"1",1.3,2.627906977
"1331","junk","Noun",2.89486965674525,"1",NA,2.333333333
"1332","knight","Name",3.13545069934551,"1",1.4,NA
"1333","scale","Noun",2.68663626926229,"1",-1.36363636363636,2.15625
"1334","snap","Verb",2.9484129657786,"1",NA,2.416666667
"1335","region","Noun",2.40993312333129,"1",NA,2.4
"1336","nerve","Noun",3.06892761168207,"1",NA,2.296296296
"1337","goat","Noun",2.73078227566639,"1",-0.2,2.470588235
"1338","earl","Noun",3.01828430842653,"1",NA,2.642857143
"1339","chill","Noun",2.91855453055027,"1",0.923076923076923,2.1875
"1340","shore","Name",3.00603795499732,"1",-0.5,NA
"1341","comment","Noun",2.81624129999178,"1",NA,2.321428571
